date,metro,bus,road,train,total
2024-07-14,1227264,623431,370962,278178,2499835
2024-07-15,1915321,1217316,827505,536973,4497115
2024-07-16,1950631,1290398,852064,544377,4637470
2024-07-17,1912679,1277907,841596,520467,4552649
2024-07-18,1848667,1235349,816595,510755,4411366
2024-07-19,1804462,1181072,794888,492374,4272796
2024-07-20,1277337,746478,455214,323090,2802119
2024-07-21,1085511,592395,358248,272982,2309136
2024-07-22,1812121,1200582,800978,500155,4313836
2024-07-23,1853498,1216007,807689,498793,4375987
2024-07-24,1785405,1196836,795616,489928,4267785
2024-07-25,1074398,633235,418721,286484,2412838
2024-07-26,1534700,1056155,697153,418549,3706557
2024-07-27,1153982,695722,436208,299984,2585896
2024-07-28,944877,555242,336471,254524,2091114
2024-07-29,1616150,1111674,753909,460980,3942713
2024-07-30,1689064,1156107,770163,470552,4085886
2024-07-31,1690655,1155319,768709,470194,4084877
2024-08-01,1574533,1047948,699291,448143,3769915
2024-08-02,1519857,1020797,673085,436454,3650193
2024-08-03,1086868,656754,424539,296625,2464786
2024-08-04,884830,519491,326788,245062,1976171
2024-08-05,1412041,973321,641244,398622,3425228
2024-08-06,1437138,976122,645068,414446,3472774
2024-08-07,1440562,970454,649029,420991,3481036
2024-08-08,1401361,945987,628875,409549,3385772
2024-08-09,1382418,925605,607831,401718,3317572
2024-08-10,1017887,631604,385164,276461,2311116
2024-08-11,847628,498159,311351,233535,1890673
2024-08-12,1314123,915501,604221,393844,3227689
2024-08-13,1338635,936447,608552,401977,3285611
2024-08-14,1374332,944661,612442,396681,3328116
2024-08-15,963481,560389,350677,265442,2139989
2024-08-16,1227609,850324,556329,341212,2975474
2024-08-17,1021556,611953,368875,274391,2276775
2024-08-18,836523,490487,278853,232568,1838431
2024-08-19,1301768,883774,602192,383776,3171510
2024-08-20,1352807,910715,603168,399504,3266194
2024-08-21,1387009,914998,623154,407518,3332679
2024-08-22,1354436,905734,618282,397486,3275938
2024-08-23,1359875,900564,623213,399255,3282907
2024-08-24,1024412,609630,408187,283133,2325362
2024-08-25,945092,503562,328602,252064,2029320
2024-08-26,1417128,954127,655127,418872,3445254
2024-08-27,1489023,1000458,676561,433612,3599654
2024-08-28,1557350,1022357,692541,443706,3715954
2024-08-29,1507911,991297,674360,433228,3606796
2024-08-30,1595123,1037268,696558,455862,3784811
2024-08-31,1199671,694836,458162,330055,2682724
2024-09-01,1087664,585485,383387,279763,2336299
2024-09-02,1808145,1300995,825617,502288,4437045
2024-09-03,1933075,1328734,876691,535344,4673844
2024-09-04,2026049,1354512,893421,537714,4811696
2024-09-05,2037047,1354244,853147,545835,4790273
2024-09-06,2047048,1349209,909064,549108,4854429
2024-09-07,1470915,854740,537433,370951,3234039
2024-09-08,1303973,593838,417549,319660,2635020
2024-09-09,2123953,1543694,961907,586937,5216491
2024-09-10,2265168,1652653,1077221,624721,5619763
2024-09-11,2307650,1601675,1090483,640098,5639906
2024-09-12,2308062,1625208,1066674,633746,5633690
2024-09-13,2340223,1590084,1085550,622688,5638545
2024-09-14,1514224,902208,555333,388599,3360364
2024-09-15,1247839,686838,400473,312622,2647772
2024-09-16,2253535,1625397,1084230,631872,5595034
2024-09-17,2399362,1680523,1112868,657194,5849947
2024-09-18,2388287,1697595,1129461,659128,5874471
2024-09-19,2396401,1635098,1094631,639777,5765907
2024-09-20,2420793,1664150,1132305,632676,5849924
2024-09-21,1600301,940675,552368,390671,3484015
2024-09-22,1230468,693901,393530,317737,2635636
2024-09-23,2289921,1669436,1111802,643073,5714232
2024-09-24,2413210,1716445,1137590,667078,5934323
2024-09-25,2411830,1704515,1137921,668648,5922914
2024-09-26,2437031,1690211,1141548,665552,5934342
2024-09-27,2485476,1687133,1141180,663339,5977128
2024-09-28,1675614,983178,579027,412981,3650800
2024-09-29,1292523,717636,397198,322693,2730050
2024-09-30,2307713,1700170,1113202,651538,5772623
2024-10-01,2428829,1760255,1157549,677986,6024619
2024-10-02,2455128,1756133,1148207,682386,6041854
2024-10-03,2497658,1773306,1165014,684014,6119992
2024-10-04,2535551,1762400,1195464,680690,6174105
2024-10-05,1785599,985045,598271,442849,3811764
2024-10-06,1323705,671683,397876,338082,2731346
2024-10-07,2342871,1669430,1092099,648411,5752811
2024-10-08,2457555,1758621,1153309,675736,6045221
2024-10-09,2470400,1703281,975050,660720,5809451
2024-10-10,2567621,1779682,1274325,664863,6286491
2024-10-11,2522637,1730082,1131585,631158,6015462
2024-10-12,1549086,726955,446998,343437,3066476
2024-10-13,1310908,717408,405032,332212,2765560
2024-10-14,2338500,1716165,1135071,660648,5850384
2024-10-15,2431619,1740290,1148493,675960,5996362
2024-10-16,2470511,1722274,1145012,679455,6017252
2024-10-17,2513021,1729435,1136486,675118,6054060
2024-10-18,2562176,1753145,1183269,675449,6174039
2024-10-19,1760823,986877,590935,400551,3739186
2024-10-20,1319589,720740,399126,319273,2758728
2024-10-21,2362891,1727284,1142159,650987,5883321
2024-10-22,2514082,1770552,1155320,686614,6126568
2024-10-23,2544807,1762092,1160967,688658,6156524
2024-10-24,2517564,1768935,1152153,684527,6123179
2024-10-25,2581212,1729336,1171707,673577,6155832
2024-10-26,1820992,958262,563229,317112,3659595
2024-10-27,1307687,686702,375845,314684,2684918
2024-10-28,2477733,1178247,768308,703411,5127699
2024-10-29,2480424,1594843,1051020,669011,5795298
2024-10-30,2532298,1729208,1129016,684630,6075152
2024-10-31,2689458,1790857,1205741,696931,6382987
2024-11-01,1474201,784348,475582,332562,3066693
2024-11-02,1577024,913399,532292,345129,3367844
2024-11-03,1248664,671495,383448,285147,2588754
2024-11-04,2347356,1683686,1115178,651535,5797755
2024-11-05,2506175,1755362,1145294,686172,6093003
2024-11-06,2535716,1763678,1151836,694492,6145722
2024-11-07,2527541,1763605,1155126,689489,6135761
2024-11-08,2568631,1733806,1072921,677762,6053120
2024-11-09,1727221,891851,562530,415077,3596679
2024-11-10,1293345,699472,386679,323319,2702815
2024-11-11,2393150,1687001,1089857,662823,5832831
2024-11-12,2484037,1745523,1128802,678622,6036984
2024-11-13,2478468,1670620,1098957,664533,5912578
2024-11-14,2498651,1731373,1125799,677107,6032930
2024-11-15,2569190,1716985,1151889,674418,6112482
2024-11-16,1764205,987861,571529,424738,3748333
2024-11-17,1322807,719103,398082,337893,2777885
2024-11-18,2366126,1709104,1112850,660305,5848385
2024-11-19,2477798,1745488,1135335,684838,6043459
2024-11-20,2523518,1769312,1135743,695628,6124201
2024-11-21,2527321,1727732,1133489,681776,6070318
2024-11-22,2623273,1737128,1156229,684181,6200811
2024-11-23,1794909,975436,566086,432376,3768807
2024-11-24,1330538,703604,397932,335599,2767673
2024-11-25,2362465,1655045,1095999,650147,5763656
2024-11-26,2463817,1756784,1149094,685388,6055083
2024-11-27,2528595,1767299,1131053,699613,6126560
2024-11-28,2707825,1473820,918072,740188,5839905
2024-11-29,2765509,1516741,952342,728017,5962609
2024-11-30,2005522,1070816,597482,484224,4158044
2024-12-01,1458929,796282,403560,366814,3025585
2024-12-02,2407693,1725463,1089366,667642,5890164
2024-12-03,2529416,1781744,1127195,689888,6128243
2024-12-04,2560300,1770613,1118110,698498,6147521
2024-12-05,2583490,1730277,1099517,689938,6103222
2024-12-06,1731500,857224,502764,429431,3520919
2024-12-07,1806152,947708,530256,429679,3713795
2024-12-08,1376898,690480,368600,335080,2771058
2024-12-09,2356596,1637782,787413,648871,5430662
2024-12-10,2486528,1738823,1076555,682727,5984633
2024-12-11,2575204,1735672,1107095,688087,6106058
2024-12-12,2567850,1747564,982259,689972,5987645
2024-12-13,2711602,1745171,970393,680442,6107608
2024-12-14,2036333,1039758,565235,463178,4104504
2024-12-15,1486125,748343,390600,352037,2977105
